x_chief,y_chief,z_chief,x_deputy1,y_deputy1,z_deputy1,x_deputy2,y_deputy2,z_deputy2,x_deputy3,y_deputy3,z_deputy3
-6.606550352658920019e+03,2.577598076095014790e+02,-1.989069583516635475e+03,-6.607078096521836414e+03,2.582522369563409370e+02,-1.991879693427513530e+03,-6.607490811405491513e+03,2.555294298504272774e+02,-1.975979521614923897e+03,-6.613737560084613506e+03,2.558421491739548514e+02,-1.966063422068360524e+03
-6.459630998333253046e+03,3.140840313645713877e+02,-2.416767131088696715e+03,-6.460097932657493402e+03,3.145899491576839750e+02,-2.419474788682688086e+03,-6.461062963480346298e+03,3.117890360703136139e+02,-2.404042077421618615e+03,-6.468011469680746814e+03,3.124627246149101438e+02,-2.394157026200074142e+03
-6.284540396291188699e+03,3.690385044177891700e+02,-2.833895735047324706e+03,-6.284961751621523945e+03,3.695565466044589016e+02,-2.836495606989382395e+03,-6.286418109428858770e+03,3.666869882867584352e+02,-2.821576528926503215e+03,-6.294075871522787565e+03,3.677205307823045928e+02,-2.811779879013507525e+03
-6.082047702328875857e+03,4.223838917149594749e+02,-3.238633721602604055e+03,-6.082439276412054824e+03,4.229128378592964168e+02,-3.241122446728403702e+03,-6.084321483539816654e+03,4.199836824660685579e+02,-3.226755478077944645e+03,-6.092691051970396074e+03,4.213746668132372406e+02,-3.217106270040746040e+03
-5.853041835009872557e+03,4.738880128794443181e+02,-3.629214645556038704e+03,-5.853419743904801180e+03,4.744267977703548240e+02,-3.631590896185616202e+03,-5.855658805848363954e+03,4.714466026859993804e+02,-3.617806358150183769e+03,-5.864737598613532100e+03,4.731913026142013337e+02,-3.608364844033711051e+03
-5.598527339840363311e+03,5.233268559261455266e+02,-4.003935022615689377e+03,-5.598907762426090812e+03,5.238745775526861053e+02,-4.006199534355082505e+03,-5.601432189243863832e+03,5.208513450037402208e+02,-3.993019259565518041e+03,-5.611212357870591404e+03,5.229447065671065502e+02,-3.983846406716614183e+03
-5.319619747513490438e+03,5.704855483088667825e+02,-4.361161732874046720e+03,-5.320018667527847356e+03,5.710414721038688413e+02,-4.363317302322395335e+03,-5.322755528055181458e+03,5.679825993268476623e+02,-4.350754431303844285e+03,-5.333223875867494826e+03,5.704182317457214140e+02,-4.341911412037665286e+03
-5.017540457728940964e+03,6.151592811386752828e+02,-4.699339063683246422e+03,-5.017973407493578634e+03,6.157228404608648589e+02,-4.701390514008813625e+03,-5.020849399213141623e+03,6.126350849092013959e+02,-4.689449424415089197e+03,-5.031987352940140227e+03,6.154052562538248594e+02,-4.680997097562435556e+03
-4.693611181875561670e+03,6.571541829106071191e+02,-5.016995363984810865e+03,-4.694092991811172396e+03,6.577249758039134804e+02,-5.018949478870728854e+03,-4.697035509117098627e+03,6.546144355903668384e+02,-5.007625847954978781e+03,-4.708819144133030022e+03,6.577100737822903511e+02,-4.999624238353054352e+03
-4.349247979052268420e+03,6.962881395797859341e+02,-5.312749286002444023e+03,-4.349792536964790997e+03,6.968659219148178181e+02,-5.314614712981400771e+03,-4.352730720759956967e+03,6.937380314017098044e+02,-5.303895711533943540e+03,-4.365130839512553393e+03,6.971487309775249059e+02,-5.296403493447993242e+03
-3.985954920516205675e+03,7.323915583221547649e+02,-5.585315593982876635e+03,-3.986574944446086647e+03,7.329762334877038938e+02,-5.587102718670354989e+03,-3.989440696508519522e+03,7.298357736622708671e+02,-5.576967332496340532e+03,-4.002422958987808670e+03,7.335498087044423983e+02,-5.570041322792489154e+03
-3.605317417726971598e+03,7.653080727867850328e+02,-5.833510523274398111e+03,-3.606024245905421594e+03,7.658996781576793182e+02,-5.835231316464660267e+03,-3.608753192229088654e+03,7.627508011686016971e+02,-5.825650789432085730e+03,-3.622278296668305302e+03,7.667551447604275836e+02,-5.819345456071074295e+03
-3.208995248759187689e+03,7.948951880846950644e+02,-6.056256676378631710e+03,-3.209798649915048372e+03,7.954938785455224206e+02,-6.057924516380087880e+03,-3.212331038245731634e+03,7.923401455335272203e+02,-6.048862907174366228e+03,-3.226354949638428025e+03,7.966204960407119415e+02,-6.043229898271640195e+03
-2.798715317055903142e+03,8.210248641536328478e+02,-6.252587445625105829e+03,-2.799623323971763966e+03,8.216308930051203561e+02,-6.254216918577162687e+03,-2.801904841991053672e+03,8.184753241389209961e+02,-6.245631761577587895e+03,-2.816379065461290338e+03,8.230161385600565609e+02,-6.240719459888153324e+03
-2.376264175377701122e+03,8.435840364817835280e+02,-6.421650954743193324e+03,-2.377282944212128314e+03,8.441977340974848403e+02,-6.423257635971630407e+03,-2.379265446240724941e+03,8.410428695289417647e+02,-6.415100695137600269e+03,-2.394137341821347945e+03,8.458274040925142572e+02,-6.410953802385427480e+03
-1.943480346461549516e+03,8.624750734607627010e+02,-6.562713513803493697e+03,-1.944614043943220622e+03,8.630968240958616207e+02,-6.564313733533766026e+03,-1.946256175607401474e+03,8.599447943771000382e+02,-6.556531836868672144e+03,-1.961469310567835691e+03,8.649551524945829897e+02,-6.553190991861241855e+03
-1.502246470439005179e+03,8.776161698670193800e+02,-6.675162583752070532e+03,-1.503497190605495689e+03,8.782463870483300070e+02,-6.676773180708645668e+03,-1.504764902607010754e+03,8.750989914099952784e+02,-6.669309121766067619e+03,-1.520259437127671163e+03,8.803161790241771314e+02,-6.666810555725520317e+03
-1.054481307576144673e+03,8.889416761410983554e+02,-6.758509248068226952e+03,-1.055849019281770325e+03,8.895807770877023586e+02,-6.760147314642920719e+03,-1.056715963202429748e+03,8.864395678623169488e+02,-6.752940806658034489e+03,-1.072429064917134838e+03,8.918435561581460433e+02,-6.751316038670950547e+03
-6.021316234850165756e+02,8.964023632489901274e+02,-6.812390189961955002e+03,-6.036141494446059141e+02,8.970507427864283727e+02,-6.814072812735925254e+03,-6.040619503752343462e+02,8.939171141742788222e+02,-6.807061480306163503e+03,-6.199282330939864778e+02,8.994869095469675813e+02,-6.806337055252976825e+03
-1.471639827087866195e+02,8.999656229744534812e+02,-6.836569174032964838e+03,-1.487570103829989137e+02,9.006236274121043834e+02,-6.838313173486425512e+03,-1.487754130674477153e+02,8.974989067291861602e+02,-6.831433566288314069e+03,-1.647273948467884850e+02,9.032126278317679180e+02,-6.831630837068095389e+03
3.084435244209162192e+02,8.996156035135159073e+02,-6.830938031498606506e+03,3.067464002531959295e+02,9.002835049548748430e+02,-6.832759704740759844e+03,3.071595131472282105e+02,8.971690444729249521e+02,-6.825948317551758009e+03,2.911909375037129166e+02,9.030040060934085204e+02,-6.827083272874767317e+03
7.627095974511361192e+02,8.953532802320866040e+02,-6.795517148037851257e+03,7.609168010423370561e+02,8.960312517812733404e+02,-6.797432018338312446e+03,7.617555179933534646e+02,8.929285192684195636e+02,-6.790626301629693444e+03,7.458405949493979961e+02,8.988613227156116636e+02,-6.792709440113690107e+03
1.213658060135676578e+03,8.871964614160926885e+02,-6.730455453079137442e+03,1.211779931094954918e+03,8.878845537312050737e+02,-6.732478029882463488e+03,1.213030545705195436e+03,8.847952198278203468e+02,-6.725617375457935850e+03,1.197240176440051300e+03,8.908018494351364325e+02,-6.728653626238757170e+03
1.659326189517605826e+03,8.751797288031729067e+02,-6.636029909075967225e+03,1.657374850597476097e+03,8.758778484282214549e+02,-6.638173462034040313e+03,1.659016216181141317e+03,8.728038690457115081e+02,-6.631200148605009417e+03,1.643421470313843656e+03,8.788597943342472263e+02,-6.635188838160518571e+03
2.097773015427489099e+03,8.593543126486817982e+02,-6.512644499064092997e+03,2.095762213671018799e+03,8.600622025309146466e+02,-6.514920849428036490e+03,2.097766212348511090e+03,8.570058945409300577e+02,-6.507780933636448935e+03,2.082437846655589510e+03,8.630861775170798182e+02,-6.512715798028420977e+03
2.527087565252382774e+03,8.397879010594830334e+02,-6.360828710676120863e+03,2.525032488792795903e+03,8.405051236280838793e+02,-6.363248043151259481e+03,2.527364607252364749e+03,8.374692322155086686e+02,-6.355892182371113449e+03,2.512372593925313595e+03,8.435486392149210815e+02,-6.361761423634335188e+03
2.945397027686291949e+03,8.165643833390384998e+02,-6.181235514896693530e+03,2.943314100857441190e+03,8.172903064846017287e+02,-6.183806212781854811e+03,2.945934103304951805e+03,8.142780626690660029e+02,-6.176190407046536166e+03,2.931347172078043968e+03,8.203311800982338582e+02,-6.182976792001025387e+03
3.350874807746053648e+03,7.897835271377761046e+02,-5.974638838258403666e+03,3.348781467498230086e+03,7.905173133898367723e+02,-5.977367344366112775e+03,3.351644154789146796e+03,7.875324803766645800e+02,-5.969453585975434180e+03,3.337529353008874750e+03,7.935338336465757720e+02,-5.977134585308980604e+03
3.741748443700676034e+03,7.595605893031194000e+02,-5.741930527976835037e+03,3.739662900616399838e+03,7.603011884555902498e+02,-5.744821233465490877e+03,3.742718943173794287e+03,7.573480956570344915e+02,-5.736578054216643977e+03,3.729141217579423483e+03,7.632722705508105037e+02,-5.745126019284295580e+03
4.116307354804630450e+03,7.260258604812405565e+02,-5.484116810757903295e+03,4.114248342268026136e+03,7.267720058632455675e+02,-5.487171973603444712e+03,4.117445173160147533e+03,7.238555696332005027e+02,-5.478574881154208015e+03,4.104466976801637429e+03,7.296773353023954769e+02,-5.487957255572729082e+03
